vl_cnpj;optante_simples;optante_simei
1,63956E+12;FALSE;FALSE
1,66118E+12;FALSE;FALSE
1,66672E+12;TRUE;FALSE
1,67813E+12;FALSE;FALSE
1,68504E+12;FALSE;FALSE
1,70204E+12;TRUE;FALSE
1,71613E+12;FALSE;FALSE
1,73514E+12;TRUE;FALSE
1,77498E+12;TRUE;FALSE
1,78683E+12;TRUE;FALSE
1,78731E+12;TRUE;FALSE
1,80954E+12;TRUE;FALSE
1,81346E+12;TRUE;FALSE
1,82626E+12;TRUE;TRUE
1,83009E+12;FALSE;FALSE
1,83864E+12;TRUE;FALSE
1,83872E+12;FALSE;FALSE
1,8489E+12;FALSE;FALSE
1,85177E+12;FALSE;FALSE
1,85757E+12;FALSE;FALSE
1,86434E+12;FALSE;FALSE
1,86454E+12;TRUE;FALSE
1,86779E+12;FALSE;FALSE
1,89283E+12;TRUE;FALSE
1,89678E+12;FALSE;FALSE
1,90299E+12;FALSE;FALSE
1,907E+12;FALSE;FALSE
1,90706E+12;TRUE;FALSE
1,9189E+12;FALSE;FALSE
1,9228E+12;FALSE;FALSE
1,92347E+12;FALSE;FALSE
1,92467E+12;FALSE;FALSE
1,92488E+12;FALSE;FALSE
1,92686E+12;FALSE;FALSE
1,92804E+12;TRUE;FALSE
1,9288E+12;FALSE;FALSE
1,93306E+12;FALSE;FALSE
1,93878E+12;FALSE;FALSE
1,94601E+12;FALSE;FALSE
1,95152E+12;TRUE;FALSE
1,95777E+12;FALSE;FALSE
1,95909E+12;TRUE;FALSE
1,96385E+12;TRUE;FALSE
1,97161E+12;FALSE;FALSE
1,97508E+12;FALSE;FALSE
1,98822E+12;TRUE;FALSE
1,99149E+12;TRUE;FALSE
2,01626E+12;TRUE;FALSE
2,02062E+12;FALSE;FALSE
2,02349E+12;FALSE;FALSE
2,02496E+12;FALSE;FALSE
2,0266E+12;FALSE;FALSE
2,05814E+12;FALSE;FALSE
2,06275E+12;FALSE;FALSE
2,07169E+12;TRUE;FALSE
2,07225E+12;FALSE;FALSE
2,08963E+12;FALSE;FALSE
2,09039E+12;TRUE;FALSE
2,09313E+12;TRUE;FALSE
2,10105E+12;FALSE;FALSE
2,10199E+12;null;null
2,10835E+12;TRUE;FALSE
2,11206E+12;null;null
2,11676E+12;FALSE;FALSE
2,12846E+12;FALSE;FALSE
2,13036E+12;FALSE;FALSE
2,13139E+12;FALSE;FALSE
2,13723E+12;TRUE;FALSE
2,13962E+12;TRUE;FALSE
2,14345E+12;TRUE;FALSE
2,14397E+12;FALSE;FALSE
2,14921E+12;FALSE;FALSE
2,15718E+12;FALSE;FALSE
2,16262E+12;FALSE;FALSE
2,17072E+12;FALSE;FALSE
2,19078E+12;FALSE;FALSE
2,19375E+12;FALSE;FALSE
2,21732E+12;FALSE;FALSE
2,22019E+12;TRUE;FALSE
2,22177E+12;TRUE;FALSE
2,22588E+12;FALSE;FALSE
2,23458E+12;FALSE;FALSE
2,25422E+12;TRUE;FALSE
2,25519E+12;FALSE;FALSE
2,25805E+12;FALSE;FALSE
2,26699E+12;TRUE;FALSE
2,28017E+12;FALSE;FALSE
2,28465E+12;FALSE;FALSE
2,28648E+12;null;null
2,29108E+12;FALSE;FALSE
2,29174E+12;null;null
2,3021E+12;FALSE;FALSE
2,30623E+12;FALSE;FALSE
2,30801E+12;TRUE;FALSE
2,30979E+12;FALSE;FALSE
2,32251E+12;TRUE;FALSE
2,32345E+12;FALSE;FALSE
2,32828E+12;FALSE;FALSE
2,34361E+12;FALSE;FALSE
2,35114E+12;FALSE;FALSE
2,35171E+12;TRUE;FALSE
2,35188E+12;FALSE;FALSE
2,35725E+12;FALSE;FALSE
2,36507E+12;FALSE;FALSE
2,37471E+12;TRUE;FALSE
2,37797E+12;TRUE;FALSE
2,38135E+12;FALSE;FALSE
2,38724E+12;FALSE;FALSE
2,40054E+12;FALSE;FALSE
2,4045E+12;FALSE;FALSE
2,40595E+12;TRUE;FALSE
2,40976E+12;FALSE;FALSE
2,4136E+12;FALSE;FALSE
2,41416E+12;FALSE;FALSE
2,41558E+12;FALSE;FALSE
2,41558E+12;FALSE;FALSE
2,41558E+12;FALSE;FALSE
2,41558E+12;FALSE;FALSE
2,41954E+12;FALSE;FALSE
2,42142E+12;FALSE;FALSE
2,4276E+12;TRUE;FALSE
2,42914E+12;FALSE;FALSE
2,43516E+12;TRUE;FALSE
2,45523E+12;FALSE;FALSE
2,46225E+12;FALSE;FALSE
2,47093E+12;TRUE;FALSE
2,47196E+12;TRUE;FALSE
2,4741E+12;FALSE;FALSE
2,47741E+12;FALSE;FALSE
2,49735E+12;FALSE;FALSE
2,50252E+12;null;null
2,50301E+12;TRUE;FALSE
2,50723E+12;TRUE;FALSE
2,51994E+12;TRUE;FALSE
2,54367E+12;TRUE;FALSE
2,54536E+12;TRUE;FALSE
2,55547E+12;FALSE;FALSE
2,55816E+12;FALSE;FALSE
2,56333E+12;FALSE;FALSE
2,56544E+12;FALSE;FALSE
2,57273E+12;FALSE;FALSE
2,58191E+12;FALSE;FALSE
2,58592E+12;FALSE;FALSE
2,5903E+12;TRUE;TRUE
2,59247E+12;FALSE;FALSE
2,59442E+12;FALSE;FALSE
2,60486E+12;FALSE;FALSE
2,61423E+12;TRUE;FALSE
2,62651E+12;TRUE;FALSE
2,62773E+12;TRUE;FALSE
2,63552E+12;FALSE;FALSE
2,64973E+12;TRUE;TRUE
2,6562E+12;FALSE;FALSE
2,65856E+12;TRUE;FALSE
2,66404E+12;FALSE;FALSE
2,68951E+12;TRUE;FALSE
2,69062E+12;FALSE;FALSE
2,70235E+12;FALSE;FALSE
2,70282E+12;FALSE;FALSE
2,70548E+12;FALSE;FALSE
2,71725E+12;FALSE;FALSE
2,72013E+12;FALSE;FALSE
2,73402E+12;TRUE;FALSE
2,74416E+12;TRUE;FALSE
2,76172E+12;FALSE;FALSE
2,76212E+12;FALSE;FALSE
2,76212E+12;FALSE;FALSE
