cnpj;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral
4,41338E+13;2021-11-05;true;4399103;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;78652000;CONFRESA;MT;CENTRO-OESTE;NORDESTE MATO GROSSENSE;ATIVA
4,28876E+13;2021-07-27;true;9609208;HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMESTICOS;SERVICOS DIVERSOS;SERVICOS;6122130;OSASCO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
4,67739E+13;2022-06-14;true;4399103;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;80730001;CURITIBA;PR;SUL;METROPOLITANA DE CURITIBA;ATIVA
4,67797E+13;2022-06-14;true;4929902;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS SOB REGIME DE FRETAMENTO INTERMUNICIPAL INTERESTADUAL E INTERNACIONAL;TRANSPORTE;SERVICOS;48900903;JUAZEIRO;BA;NORDESTE;VALE SAO FRANCISCANO DA BAHIA;ATIVA
1,49138E+13;1979-06-01;true;;ATIVIDADE NAO INFORMADA;;;78110400;VARZEA GRANDE;MT;CENTRO-OESTE;CENTRO SUL MATO GROSSENSE;ATIVA
3,1833E+13;2018-10-23;true;4763601;COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS;VAREJO;COMERCIO;18935056;ESPIRITO SANTO DO TURVO;SP;SUDESTE;ASSIS;ATIVA
4,11923E+13;2021-03-12;true;8219999;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS ADMINISTRATIVOS;SERVICOS;33030470;SANTA LUZIA;MG;SUDESTE;METROPOLITANA DE BELO HORIZONTE;ATIVA
2,87307E+13;2017-09-26;true;6920601;ATIVIDADES DE CONTABILIDADE;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;20071905;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
2,17956E+13;2015-02-02;true;1096100;FABRICACAO DE ALIMENTOS E PRATOS PRONTOS;BENS DE CONSUMO;INDUSTRIA;24445600;SAO GONCALO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
2,10434E+13;2014-09-15;true;4542101;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MOTOCICLETAS E MOTONETAS PECAS E ACESSORIOS;VAREJO;COMERCIO;28905320;CABO FRIO;RJ;SUDESTE;BAIXADAS;ATIVA
