vl_cnpj;nivel_atividade;empresa_porte;saude_tributaria
3,76631E+13;MEDIO;GRANDE;Não Cadastrado
3,93912E+13;ALTO;MEI;Não Cadastrado
4,09263E+13;MEDIO;MEI;Não Cadastrado
4,11134E+13;MEDIO;MEI;Não Cadastrado
4,21504E+13;ALTO;GRANDE;CINZA
4,3471E+13;ALTO;GRANDE;VERMELHO
4,48226E+13;MEDIO;MEI;Não Cadastrado
4,48466E+13;MEDIO;MEI;Não Cadastrado
4,52257E+13;MEDIO;MEI;Não Cadastrado
4,52641E+13;BAIXO;MEI;Não Cadastrado
4,52925E+13;MEDIO;MEI;Não Cadastrado
4,53005E+13;MEDIO;MEI;Não Cadastrado
4,53376E+13;MEDIO;MICRO;Não Cadastrado
4,53434E+13;MEDIO;MICRO;Não Cadastrado
4,6732E+13;Não Cadastrado;MEI;Não Cadastrado
4,92632E+13;ALTO;GRANDE;AMARELA
5,19282E+13;ALTO;GRANDE;CINZA
5,69924E+13;ALTO;MEDIA;VERMELHO
6,07303E+13;ALTO;GRANDE;VERMELHO
6,10791E+13;ALTO;GRANDE;AMARELA
6,15326E+13;ALTO;GRANDE;VERMELHO
7,64838E+13;ALTO;GRANDE;VERMELHO
7,6484E+13;ALTO;GRANDE;VERMELHO
7,65358E+13;ALTO;GRANDE;VERDE
7,8877E+13;ALTO;GRANDE;CINZA
8,44297E+13;ALTO;GRANDE;CINZA
8,46837E+13;ALTO;GRANDE;CINZA
9,04009E+13;ALTO;GRANDE;AMARELA
9,13337E+13;ALTO;GRANDE;CINZA
9,27158E+13;ALTO;GRANDE;VERDE
9,27547E+13;ALTO;GRANDE;VERMELHO
9,27813E+13;ALTO;GRANDE;VERMELHO
9,64183E+13;ALTO;GRANDE;VERMELHO
1,85177E+12;MEDIO;GRANDE;CINZA
2,38724E+12;ALTO;GRANDE;VERMELHO
2,76212E+12;ALTO;GRANDE;CINZA
3,8539E+12;ALTO;GRANDE;VERDE
5,19744E+12;ALTO;GRANDE;CINZA
6,04709E+12;ALTO;GRANDE;AMARELA
6,16425E+12;ALTO;GRANDE;CINZA
8,43966E+12;ALTO;GRANDE;VERMELHO
8,90229E+12;ALTO;GRANDE;AMARELA
9,11269E+12;BAIXO;GRANDE;CINZA
9,1495E+12;ALTO;GRANDE;VERMELHO
1,03383E+13;ALTO;GRANDE;CINZA
1,41278E+13;BAIXO;GRANDE;VERDE
1,71557E+13;ALTO;GRANDE;VERDE
1,73446E+13;ALTO;GRANDE;CINZA
1,83281E+13;ALTO;GRANDE;VERDE
1,93788E+13;ALTO;GRANDE;VERDE
1,97966E+13;MEDIO;GRANDE;CINZA
3,02135E+13;BAIXO;GRANDE;CINZA
3,15536E+13;BAIXO;GRANDE;CINZA
3,27855E+13;MEDIO;GRANDE;CINZA
3,30413E+13;ALTO;GRANDE;VERMELHO
3,31112E+13;ALTO;GRANDE;CINZA
3,32E+13;ALTO;GRANDE;VERMELHO
3,3377E+13;ALTO;GRANDE;CINZA
3,33862E+13;ALTO;GRANDE;VERMELHO
4,09205E+13;ALTO;MEI;Não Cadastrado
4,09314E+13;MEDIO;MEI;Não Cadastrado
4,11162E+13;MEDIO;MEI;Não Cadastrado
4,22593E+13;ALTO;MEI;Não Cadastrado
4,52504E+13;ALTO;MEI;Não Cadastrado
4,5271E+13;ALTO;MEI;Não Cadastrado
4,52912E+13;MEDIO;MEI;Não Cadastrado
4,5795E+13;Não Cadastrado;MEI;Não Cadastrado
4,58229E+13;Não Cadastrado;MICRO;Não Cadastrado
5,07466E+13;ALTO;GRANDE;VERMELHO
5,0927E+13;ALTO;GRANDE;VERMELHO
5,31138E+13;ALTO;GRANDE;AMARELA
5,67204E+13;ALTO;GRANDE;VERMELHO
6,10889E+13;ALTO;GRANDE;VERMELHO
6,21442E+13;ALTO;GRANDE;AMARELA
8,57781E+13;ALTO;GRANDE;CINZA
8,63754E+13;ALTO;GRANDE;CINZA
8,94638E+13;ALTO;GRANDE;CINZA
8,96375E+13;ALTO;GRANDE;VERMELHO
8,98503E+13;ALTO;GRANDE;CINZA
9,26908E+13;ALTO;GRANDE;CINZA
9,48131E+13;ALTO;GRANDE;VERDE
9,71919E+13;ALTO;GRANDE;CINZA
70698000111;ALTO;GRANDE;VERDE
6,22416E+11;ALTO;GRANDE;CINZA
1,54898E+12;ALTO;GRANDE;VERMELHO
2,86069E+12;ALTO;GRANDE;VERMELHO
2,93207E+12;ALTO;GRANDE;VERMELHO
4,89573E+12;ALTO;GRANDE;VERDE
7,52656E+12;ALTO;GRANDE;VERDE
8,34349E+12;ALTO;GRANDE;VERMELHO
1,08518E+13;ALTO;GRANDE;AMARELA
1,37881E+13;ALTO;GRANDE;VERDE
1,41106E+13;MEDIO;GRANDE;CINZA
1,47761E+13;MEDIO;GRANDE;VERDE
1,66141E+13;ALTO;GRANDE;AMARELA
1,66765E+13;MEDIO;GRANDE;VERDE
1,68119E+13;MEDIO;GRANDE;CINZA
1,71612E+13;ALTO;GRANDE;AMARELA
1,7184E+13;ALTO;GRANDE;VERDE
1,85938E+13;ALTO;GRANDE;VERMELHO
1,95267E+13;ALTO;MEDIA;VERDE
2,42303E+13;MEDIO;GRANDE;VERDE
